id,userid,nome,tags,created_at,updated_at,tipo
a6f42467-88f0-4e70-8295-da7c43e77378,ab8d364a-e1be-4759-8dd8-0f7301afc405,Restaurante,,2025-11-22 22:41:07.320301+00,2025-11-22 22:41:07.320301+00,
a6f76f77-dd69-4199-9d99-aa01b2d8b4dd,ab8d364a-e1be-4759-8dd8-0f7301afc405,Resgate Investimentos,,2025-11-25 04:09:57.419585+00,2025-11-25 04:09:57.419585+00,despesa
a960566a-1436-42aa-8932-6ca576710bb5,ab8d364a-e1be-4759-8dd8-0f7301afc405,Aplicação Investimento,,2025-11-25 04:09:58.171842+00,2025-11-25 04:09:58.171842+00,despesa
aec09805-bc0c-491b-9dd8-48d92d67f99d,ab8d364a-e1be-4759-8dd8-0f7301afc405,Renda Extra,,2025-11-25 04:10:04.808084+00,2025-11-25 04:10:04.808084+00,despesa
b2432a60-172c-441c-a73c-c62d40f1028e,ab8d364a-e1be-4759-8dd8-0f7301afc405,Presentes,,2025-12-28 04:58:29.557059+00,2025-12-28 04:58:29.557059+00,despesa
b5e2cc1e-a112-4b03-920e-ca18ec3eff47,ab8d364a-e1be-4759-8dd8-0f7301afc405,Cor Amortização RF,,2025-11-19 01:06:58.600714+00,2025-11-19 01:06:58.600714+00,
be32f850-f1b7-48d7-ba18-2569e036ec25,ab8d364a-e1be-4759-8dd8-0f7301afc405,compras,,2025-11-20 20:58:04.831336+00,2025-11-20 20:58:04.831336+00,
c0633ed1-c258-495a-b408-30bec09947e3,ab8d364a-e1be-4759-8dd8-0f7301afc405,Reembolso,,2025-11-16 18:01:17.370723+00,2025-11-16 18:01:17.370723+00,
c33777f9-c615-4a82-b029-748ec8e8d60e,ab8d364a-e1be-4759-8dd8-0f7301afc405,ração,,2025-11-14 21:51:01.917985+00,2025-11-14 21:51:01.917985+00,
cd85df02-279b-4c99-ad4c-ebff37e76111,ab8d364a-e1be-4759-8dd8-0f7301afc405,pedágio,,2025-11-15 03:01:08.699142+00,2025-11-15 03:01:08.699142+00,
de963c85-7d23-4cf1-873a-6219fc62b290,ab8d364a-e1be-4759-8dd8-0f7301afc405,Transporte,,2025-11-10 17:48:43.807702+00,2025-11-10 17:48:43.807702+00,
e47eb18a-a8ba-48c0-a91b-a8a69607b6f5,ab8d364a-e1be-4759-8dd8-0f7301afc405,Compras,,2025-11-25 04:36:25.995365+00,2025-11-25 04:36:25.995365+00,
ea5e17fc-1cb4-494b-bc67-37858b318cbe,ab8d364a-e1be-4759-8dd8-0f7301afc405,Vale Refeição,,2025-11-22 23:33:59.528972+00,2025-11-22 23:33:59.528972+00,
eb0dd842-95c3-4daf-a737-8a67b9348a54,ab8d364a-e1be-4759-8dd8-0f7301afc405,estacionamento,,2025-11-11 21:23:02.768398+00,2025-11-11 21:23:02.768398+00,
f085b41a-4f63-45ce-ade8-110f1ee1a04f,ab8d364a-e1be-4759-8dd8-0f7301afc405,Transferência,,2025-11-25 04:09:58.421156+00,2025-11-25 04:09:58.421156+00,receita
f8d483c3-f001-4e7b-8190-8712efad946f,ab8d364a-e1be-4759-8dd8-0f7301afc405,Salão,,2025-11-25 04:09:57.732954+00,2025-11-25 04:09:57.732954+00,despesa
